TABLE_SCHEMA,TABLE_NAME,cols,n_cols
CenteneRetro,Testing_ClaimSoundexMemberKeys,"SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, DateFilled, ClaimTapeId, ClaimLineKeyId",6
CenteneRetro,Testing_ClaimTapeLine,"ClaimTapeId, ClaimLineKeyID, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",5
CenteneRetro,Testing_Claims,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,Testing_ClaimsWithNearestEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,Testing_ClaimsWithNearestEligibility_Backup,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim",27
CenteneRetro,Testing_Claims_backup,"Id, PatientKey, ClaimSubscriberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, ClaimRoot, ClaimKey, TotalAmountPaid, DateFilled, OtherCoverageCode, Pharmacy_NPI, Pharmacy_NCPDPID, Quantity, DaysSupply, DateAdjudicated, AdjustmentSequence, Carrier, PartDContractNumber, GenLOBCode, ClientKey",21
CenteneRetro,Testing_FullEligMemberKeys,"MemberKey, SoundexMemberKey, FileName, LineKeyID, EffectiveDate, TerminationDate, SubscriberKey, SSN, MemberID, FirstName, LastName, BirthDate, DivisionNbr",13
CenteneRetro,Testing_OrphanedClaimsNoEligibility,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
CenteneRetro,Testing_OrphanedMemberKeys,"MatchValue, MatchPriority, MatchKey, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",7
CenteneRetro,Testing_OrphanedMembers,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3",4
CenteneRetro,Testing_OrphanedMembersWithElig,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, MatchKey, LineKeyID, TapeID, FirstName, LastName, BirthDate, EffectiveDate, TerminationDate, DivisionNbr",13
CenteneRetro,Testing_OrphanedMembersWithElig_Ranked,"MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, MatchKey, TapeID, LineKeyID, EffectiveDate, TerminationDate, FirstName, LastName, BirthDate, DivisionNbr, ElgRank",14
CenteneRetro,Testing_OrphansNonGap,"EligFileName, EligLineKeyId, Firstname, LastName, BirthDate, MemberKey, SoundexMemberKey1, SoundexMemberKey2, SoundexMemberKey3, SubscriberKey, SSN, EffectiveDate, TerminationDate, DateFilled, DaysTermToDateFilled, ClaimRoot, ClaimKey, ClientKey, TotalAmountPaid, Pharmacy_NCPDPID, Pharmacy_NPI, GenLOBCode, PartDContractNumber, Carrier, isGap, isFullRetro, isOrphanedClaim, AlternateId1, AlternateId2, MemberID, TrcMemberID",31
ClientPerformanceModel,AetnaRxClaimsLOB1,"Paid, ClaimRoot, ClaimKey, Yearloaded, Monthloaded, PatientKey, LOB, LOB2, m-y",9
ClientPerformanceModel,CenteneRxClaimsLOB1,"Paid, ClaimRoot, ClaimKey, Yearloaded, Monthloaded, PatientKey, LOB, isOIPrime, PartDPrimary, Retro, MSP, MedicaidNotPrime, m-y",13
ClientPerformanceModel,ClientPerformanceModel_CenteneRxClaimsLOB1_checker,"Paid, ClaimRoot, ClaimKey, Yearloaded, Monthloaded, PatientKey, LOB, isOIPrime, PartDPrimary, Retro, MSP, MedicaidNotPrime, m-y",13
ClientPerformanceModel,WellCareRxClaimsLOB,"LineKey, TapeID, TotalAmountPaid, PatientKey, ClaimRoot, Yearloaded, Monthloaded, LOB, LOB2, M-Y",10
ClientPerformanceModel,WellCareRxLineKeysTapeIds,"LineKey, TapeID",2
ClientPerformanceModel,WellpointEdwardRXClaimsLOB1,"Paid, ClaimRoot, ClaimKey, Yearloaded, Monthloaded, PatientKey, LOB, LOB2, m-y, ClientName",10
FrontrunnerTrack,CemTracking,"ClientName, MatchType, CemOverlapCount, CemTotalCount, CemCompletedCount",5
FrontrunnerTrack,ClientBreakout,"ClientName, MatchType, OiSource, DmiInvestigationCountByOiSource, TotalDollars, TotalExpected",6
FrontrunnerTrack,ClientSummary,"ClientName, DmiInvestigationCount, PctFrNotInCEM, PctFrNotCompleted, PctFrNotSubmitted, PctCEMNotComplete",6
FrontrunnerTrack,FrontrunnerBreakout,"clientname, MatchType, FrontRunnerQueuedCount, FrontRunnerSubmittedCount, FrontRunnerNotSubmittedCount, FrontRunnerNotSubmittedEv, FrontRunnerCompletedCount",7
FrontrunnerTrack,FrontrunnerOverThresholdBreakout,"clientname, MatchType, FrontRunnerOverThresholdCount, FrontRunnerOverThresholdEv, FrontRunnerOverThresholdClaimValue",5
FrontrunnerTrack,RxPSummary,"ClientName, MatchType, InRxpCount, InRxpDollars",4
POF,RxCorrectedSSN_Tufts,"RxPatSSN, RxMemberKey, ClientName, SSNSource, TapeID, LineKeyID",6
POF,TuftsMiningResultsHistory,"ID, MemberFirstName, MemberLastName, MemberDOB, MemberSSN, RxMemberAMI, RxEffectiveDate, RxTerminationDate, RxSubscriberAMI, RxGroupName, OIAMI, OIEffectiveDate, OITerminationDate, OIClientDB, OIGroupName, MiningOverlapSource, OiIsSub, OiIsIndividual, OiIsRetiree, LegalEntityKey, FileDate, SourceLabel, OiEligDaysDelta, OiWindowSize, IsPBM, DuplicateRank, OverlapRank, NewOITermDate, POFQueueId, InsertTimestamp",30
POF,TuftsRxPOF,"ID, MemberFirstName, MemberLastName, MemberDOB, MemberSSN, RxMemberAMI, ClientAMI, MedGroupNumber, MedGroupName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberZip, SubscriberDOB, SubscriberSSN, RxEffectiveDate, RxTerminationDate, RxSubscriberAMI, RxGroupName, RxGroupNumber, OIAMI, OIFirstName, OILastName, OIMemberSSN, OIEffectiveDate, OITerminationDate, OIClientDB, OIGroupName, OIGroupNumber, MiningOverlapSource, OiIsSub, OiIsIndividual, OiIsRetiree, LegalEntityKey, FileDate, SourceLabel, RxLineKeyId, RxTapeId, MedLineKeyId, MedTapeId",40
POF,TuftsRxPOFFiltered,"ID, MemberFirstName, MemberLastName, MemberDOB, MemberSSN, RxMemberAMI, ClientAMI, MedGroupNumber, MedGroupName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberZip, SubscriberDOB, SubscriberSSN, RxEffectiveDate, RxTerminationDate, RxSubscriberAMI, RxGroupName, OIAMI, OIFirstName, OILastName, OIMemberSSN, OIEffectiveDate, OITerminationDate, OIClientDB, OIGroupName, OIGroupNumber, MiningOverlapSource, OiIsSub, OiIsIndividual, OiIsRetiree, LegalEntityKey, FileDate, SourceLabel, OiEligDaysDelta, OiWindowSize, IsPBM, DuplicateRank, NewOITermDate, RxLineKeyId, RxTapeId, MedLineKeyId, MedTapeId, ClientName",45
RetroTerm,BCBSNCClaims,"ClaimKey, InvestigationID, FirstName, LastName, MemberDOB, MemberKey, DateFilled, TotalAmountPaid, CorrectTerm, SubscriberKey",10
RetroTerm,BCBSNCEligPrep,"ID, InvestigationID, OiSource, CemPrepID, oiSourceID, SourceRank, OiTermDate, OiAMI, AdjOIAMI, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone",30
RetroTerm,BCBSNCOtherInsurance,"ID, InvestigationID, ClientName, ClientMemberKey, ClientZip, ClientTerminationDate, OiSource, CemPrepID, OiSourceID, OiClientDb, OiEffectiveDate, OiFirstName, OiLastName, OiAMI, OiDob, OiSSN, OiZip, OiTermDate, SourceRank",19
RetroTerm,BCBSNCOtherInsurance_Backup,"ID, InvestigationID, ClientName, ClientMemberKey, ClientZip, ClientTerminationDate, OiSource, CemPrepID, OiSourceID, OiClientDb, OiEffectiveDate, OiFirstName, OiLastName, OiAMI, OiDob, OiSSN, OiZip, OiTermDate, SourceRank",19
RetroTerm,OIMiningResInCem,"OverlapKey, ClientCode, AMI, SSN, FirstName, LastName, DOB, OtherClientCode, OtherAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OverlapSource, Score, InsertDate, SubscriberFirstName, SubscriberLastName, SubscriberDOB, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberAMI, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, CompletionDateTime, ProcessedDateTime, CAQHID, ExcludeFromKillLogic, SubscriberPhoneNumber, OtherSubscriberPhoneNumber, Side1WorkItemId, Side2WorkItemId, clqryid, POFQueueID, PersonKey, Side1StatusId, Side2StatusId, Side1StatusUpdatedDateTime, Side2StatusUpdatedDateTime, PbmAMI, OtherPbmAMI, GroupName, GroupNumber, OtherGroupName, OtherGroupNumber, PatientZip, OtherPatientZip, Side1SQID, Side2SQID, Expired, OriginalInsertDate, Note, OtherNote, OneSidedOtherSide, COBC_Serial, PivotWorkItemId, PersonUnitID, OtherPersonUnitID, OverlapStartDate, PivotCEM, AdaptableInventoryID, OneSideToPivotCEM, AdaptableResult, GroupOutreach",76
RetroTerm,PostValidationOI_Aetna,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_AetnaQNXT,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Anthem,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_BCBSNC,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Carefirst,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Centene,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Elixir,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Elixir_test,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Emblem,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Evernorth,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Excellus,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_HAP,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_NCState,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_NYSHIP,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Oscar,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,PostValidationOI_Tufts,"OverlapID, PersonKey, SSN, GroupNumber, GroupName, DOB, ClientCode, ClientName, AMI, SubscriberDOB, OverlapSource, CAQHID, POFQueueID, ClQryID, Score, FirstName, LastName, SubscriberFirstName, SubscriberLastName, SubscriberAMI, SubscriberSSN, SubscriberAddress1, SubscriberAddress2, SubscriberCity, SubscriberState, SubscriberZip, SubscriberPhone, OtherAMI, OtherSubscriberAMI, OtherSSN, OtherFirstName, OtherLastName, OtherDOB, OtherClientCode, OtherGroupName, OtherGroupNumber, OtherSubscriberFirstName, OtherSubscriberLastName, OtherSubscriberDOB, OtherSubscriberSSN, OtherSubscriberAddress1, OtherSubscriberAddress2, OtherSubscriberCity, OtherSubscriberState, OtherSubscriberZip, COBC_Serial, OtherNote, InsertDate, Note, PersonUnitID, OtherPersonUnitID, OverlapStartDate, Side2Note",53
RetroTerm,RxCollectionsBypass,"BypassID, ClientName, ClientKey, FieldName, FieldValue, InsertDateTime, RetroPathID",7
RetroTerm,RxCollectionsBypassPaths,"RetroPathID, PathDescription, InsertDateTime",3
compliance,AetnaInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,AllClientsInventory_AppDev_ClaimKeys,ClaimKey,1
compliance,AllClientsInventory_AppDev_FinalTable,"Client, InvestigationType, MatchType, MemberCount, ClaimCount, TotalClaimValue",6
compliance,AppDevProduced,"PatientKey, ClientKey, ClientName, InvestigationType, DateProduced",5
compliance,CenteneFidelisInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,CenteneFidelisInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,CenteneInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,CenteneInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,CignaInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,CignaInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,ComplianceProducedRaw,"ProducedDate, Patientkey, Matchname, Client",4
compliance,DMGComplianceInventory,"Client, InvestigationType, MatchType, MemberCount, ClaimCount, TotalClaimValue, TotalExpectedValue",7
compliance,ElevanceInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,ElevanceInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,ElixirInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,ElixirInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,ExcellusInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,ExcellusInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,HealthNowInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,HealthNowInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
compliance,WellcareInventory_AppDev,"PatientKey, ClaimKey, TotalAmountPaid, MatchDesc, InvestigationType, MatchedDate",6
compliance,WellcareInventory_AppDevProduced,"PatientKey, ClientKey, MatchDesc, InvestigationType, MatchedDate",5
